id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
73584;AntonioCarlosMendesThame;NA;psdb;SP;sim;sim;sim;sim;não votou;não votou;sim;sim;não votou;não;não votou;sim;sim;não votou;não;não;não;sim;não;NA
105112;CabucuBorges;NA;pmdb;AP;sim;não votou;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;sim;SIM
74474;CarlosEduardoCadoca;NA;pcdob;PE;não;não;sim;não;não;não;não;não;sim;sim;não;sim;sim;sim;sim;não;sim;não votou;não;NA
73568;CelsoJacob;NA;pmdb;RJ;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;NA
141439;ChicoDAngelo;NA;pt;RJ;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
178848;ConceicaoSampaio;NA;pp;AM;não;sim;não;abstção;não;não;sim;não;sim;sim;sim;sim;sim;não;não;sim;sim;sim;sim;SIM
185500;DeoclidesMacedo;NA;pdt;MA;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;sim;não votou;não votou;não votou;não votou;não votou;não votu;não votou;não votou;não votou;não votou;NA
178940;DrJoao;NA;pr;RJ;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;sim;sim;sim;não;sim;não;SIM
160643;DrJorgeSilva;NA;pros;ES;não;sim;sim;sim;não;sim;não;não;sim;não;sim;sim;não;sim;sim;sim;não;sim;sim;SIM
178830;DrSinvalMalheiros;NA;pv;SP;sim;sim;não votou;sim;não;sim;sim;não;não votou;não;não;sim;sim;não;não;não votou;não votou;sim;não votou;SIM
73793;EdinhoBez;NA;pmdb;SC;sim;não;sim;sim;sim;sim;sim;abstção;sim;sim;sim;sim;não;abstenção;sim;sim;sim;sim;não votou;NA
160578;EdmarArruda;NA;psc;PR;não votou;sim;não;sim;sim;sim;sim;não;não votou;sim;não votou;sim;não votou;não;sim;sim;sim;não votou;sim;NA
178904;EzequielFonseca;NA;pp;MT;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
146829;FabianoHorta;NA;pt;RJ;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não;não votou;não;não votou;não votou;sim;sim;não votou;não votou;não votou;não votou;NA
190149;FabricioOliveira;NA;psb;SC;não;sim;sim;sim;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NA
160666;FelixMendoncaJunior;NA;pdt;BA;sim;sim;sim;sim;não;não;não;não;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;NAO
73481;FernandoMarroni;NA;pt;RS;não votou;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NA
92699;FernandoMonteiro;NA;pp;PE;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;sim;não votou;sim;sim;NA
191923;FlavioNogueira;NA;pdt;PI;sim;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não voto;não votou;não votou;não votou;não votou;NA
178959;HiranGoncalves;NA;pmn;RR;sim;não votou;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;não;não;não;não;SIM
131966;JoseFogaca;NA;pmdb;RS;sim;sim;sim;sim;não;não;não;não;sim;não;não;sim;não votou;não;não;não;não;sim;não;SIM
151965;JoseMaiaFilho;NA;solidaried;PI;não votou;não votou;não votou;não votou;não;não;7 sim;sim;não votou;sim;não votou;sim;sim;não votou;não votou;sim;não votou;sim;sim;NA
178851;JoziRocha;NA;ptb;AP;não votou;não votou;não votou;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;NAO
178918;KaioManicoba;NA;phs;PE;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;não;não votou;não;sim;não;sim;não;SIM
141483;LindomarGarcon;NA;pmdb;RO;não votou;não;sim;não votou;abstção;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;sim;SIM
74277;LobbeNeto;NA;psdb;SP;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;não votou;não votou;sim;não;não;não;sim;sim;não;NA
151965;Mainha;NA;solidaried;PI;não;não votou;sim;sim;não votou;não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NA
160660;MarceloAguiar;NA;dem;SP;sim;sim;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;abstenção;sim;sim;sim;sim;sim;não;NA
178858;MarioNegromonteJr;NA;pp;BA;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não;sim;sim;ABST
181315;MarquinhoMendes;NA;pmdb;RJ;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;NA
74428;MendoncaFilho;NA;dem;PE;sim;sim;não votou;sim;sim;sim;sim;sim;não votou;sim;sim;não;não votou;não;não;não;sim;sim;não;SIM
188097;MerlongSolano;NA;pt;PI;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não;não votou;abstenção;não votou;não votou;não votou;sim;não votou;não votou;não votou;não votou;NA
NA;nao;NA;não votou;não votou;;;;;;;;;;não votou;não votou;6 não votou;7 não votou;não votou;não votou;;;;;NA
180545;OsmarBertoldi;NA;dem;PR;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;sim;não votou;sim;não votou;não votou;não;não;não votou;não votou;não votou;não votou;NA
186775;PastorFranklin;NA;ptdob;MG;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;não;sim;não;sim;não;não votou;não;NA
141516;PauloAbiAckel;NA;psdb;MG;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;não;sim;não;SIM
80920;Penna;NA;pv;SP;não votou;não votou;sim;não;sim;não;sim;não;não votou;não;não votou;sim;sim;não votou;não votou;sim;sim;sim;não;NA
160601;PrMarcoFeliciano;NA;psc;SP;sim;não votou;não;sim;sim;sim;sim;não;não;sim;sim;sim;sim;não votou;não votou;não;sim;sim;sim;SIM
160639;ProfessoraDorinhaSeabraRezende;NA;dem;TO;sim;não votou;sim;sim;não;não;sim;não;não;não;sim;sim;sim;não;não;sim;sim;im;sim;SIM
74048;RaulJungmann;NA;pps;PE;não votou;não votou;sim;sim;não;não;não;não votou;sim;não votou;não;não;não votou;não;não;não;não;não votou;não;NA
73805;RobertoFreire;NA;pps;SP;não votou;sim;sim;sim;não;não;não;não;sim;não;sim;sim;sim;não votou;não;não;não;abstenção;não;NA
160651;RogerioPeninhaMendonca;NA;pmdb;SC;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;SIM
191684;RosangelaCurado;NA;pdt;MA;;;;;;;;;;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NA
178935;Rossoni;NA;psdb;PR;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;sim;sim;NA
74372;SandesJunior;NA;pp;GO;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;NA
74765;SilasBrasileiro;NA;pmdb;MG;sim;sim;sim;sim;não votou;sim;não votou;não votou;sim;não votou;sim;não votou;não;não votou;não votou;sim;sim;sim;sim;NA
187008;SilasFreire;NA;pr;PI;não;sim;sim;sim;sim;sim;não;sim;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NA
NA;sim;NA;não;não votou;;;;;;;;;;não votou;não votou;não votou;7 não votou;não votou;não votou;;;;;NA
NA;sim;NA;não votou;não votou;;;;;;;;;;não votou;não votou;6 não votou;7 não votou;não votou;não votou;;;;;NA
73424;SimaoSessim;NA;pp;RJ;sim;não votou;não votou;não votou;sim;sim;7 não votou;não votou;sim;não votou;sim;não votou;não votou;sim;sim;não votou;não votou;não votou;não votou;SIM
160610;ValmirAssuncao;NA;pt;BA;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NA
137853;WadsonRibeiro;NA;pcdob;MG;não;não;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;sim;não;NA
160631;WalneyRocha;NA;ptb;RJ;sim;não;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;não;sim;sim;NA
141560;WalterIhoshi;NA;psd;SP;não votou;sim;abstção;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;não;não;sim;não;NA
141563;WilliamWoo;NA;pv;SP;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;sim;não votou;não;não votou;não votou;sim;não;não votou;não votou;não votou;não votou;NA
178902;ZecadoPt;NA;pt;MS;não;sim;sim;não;não votou;não votou;não;não;não;não;não;sim;não votou;sim;sim;sim;não;não votou;sim;NAO
